Segment,customers,avg_recency,avg_frequency,avg_monetary,total_monetary
Loyal Customer,33276,184.79396562086788,1.0293003966822936,56.690679168169254,1886439.04
At Risk,23500,445.4885957446809,1.0469787234042554,61.32439744680851,1441123.34
New Customer,16026,141.18170472981404,1.0,257.4507668788219,4125905.99
Lost Customer,14820,446.3229419703104,1.0,269.0226963562753,3986916.36
Big Spender,7210,271.1776699029126,1.0,248.48413176144246,1791570.59
Champion,955,137.25235602094241,2.1968586387434557,328.238722513089,313467.98
Others,432,268.025462962963,1.0,106.99166666666667,46220.4
